entity,rdf:type,title,date,theme,hasAuthor,isRealisedThrough,typeOfRedaction,language,hasCreator,name,personDate,enjambment,enjambmentOn,lineNumber,metre,numberOfSyllables,redactionUri,stanzaNumber,text
https://summer-school.uned.es/resources/Linea#612d05f7-a207-450b-8c37-bcf1d3e84441,summerOnto:Linea,,,,,,,,,,,,,73.0,-+-+--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,15.0,"me basta, y la vajilla,"
https://summer-school.uned.es/resources/Linea#d7b5ef6b-d89a-4a4f-b807-d272ccd3869a,summerOnto:Linea,,,,,,,,,,,,,74.0,-+-+--+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,15.0,de fino oro labrada
https://summer-school.uned.es/resources/Linea#04de260b-9a38-4e4b-8493-2b084921c554,summerOnto:Linea,,,,,,,,,,,,,75.0,+----+++--+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,15.0,sea de quien la mar no teme airada.
https://summer-school.uned.es/resources/Linea#6e2c43c3-3b19-46db-bf68-2cde921efc46,summerOnto:Linea,,,,,,,,,,,tmesis,miserable mente,76.0,++---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,16.0,Y mientras miserable-
https://summer-school.uned.es/resources/Linea#d8c3070f-2090-4ea7-9dc4-64fd5a394902,summerOnto:Linea,,,,,,,,,,,,,77.0,+---+-+---+-,12.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,16.0,mente se están los otros abrazando
https://summer-school.uned.es/resources/Linea#0688bbed-d037-484e-ba31-a2d5c3e23c47,summerOnto:Linea,,,,,,,,,,,,,78.0,-+---+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,16.0,con sed insacïable
https://summer-school.uned.es/resources/Linea#68e96947-7593-4679-a3a5-41c7c9f7dc70,summerOnto:Linea,,,,,,,,,,,,,79.0,---+-+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,16.0,"del peligroso mando,"
https://summer-school.uned.es/resources/Linea#7b03f498-4444-4605-81bd-65c2b09fe26e,summerOnto:Linea,,,,,,,,,,,,,80.0,-+-+--+--+-+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,16.0,tendido yo a la sombra esté cantando.
https://summer-school.uned.es/resources/Linea#92e3e01d-05fc-471b-a66f-8d1d3a103383,summerOnto:Linea,,,,,,,,,,,,,81.0,--+--+-,7.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,17.0,"A la sombra tendido,"
https://summer-school.uned.es/resources/Linea#908a5884-f760-4b25-a711-2696a40dfc15,summerOnto:Linea,,,,,,,,,,,,,82.0,-+-++--+---+-,13.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,17.0,"de hiedra y lauro eterno coronado,"
https://summer-school.uned.es/resources/Linea#69c7992b-8b92-46c7-bad9-39d0f9cd7dbd,summerOnto:Linea,,,,,,,,,,,,,83.0,+---+--+-,9.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,17.0,puesto el atento oído
https://summer-school.uned.es/resources/Linea#abf003f7-3ef5-4484-8d51-17489a50ea73,summerOnto:Linea,,,,,,,,,,,,,84.0,-++---+-,8.0,https://summer-school.uned.es/resources/Redaccion#6ce1e595-90e6-41d7-be1f-fe24533a7936,17.0,"al son dulce, acordado,"
